"BULAN"|"WITEL"|"STO"|"TOTAL"|"PLEVEL1"|"PLEVEL2"|"JUMLAH"|"SUBTOTAL"
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|UNKNOWN|250|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|ACCEPTABLE|321|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|BAD|34|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|GOOD|539|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|BAY|0|CATEGORY_LATENCY|VERY GOOD|249|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|UNKNOWN|484|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|ACCEPTABLE|382|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|BAD|26|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|GOOD|826|0
"202208"|BANTEN|BJO|0|CATEGORY_LATENCY|VERY GOOD|766|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|UNKNOWN|182|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|ACCEPTABLE|220|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|BAD|42|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|GOOD|192|0
"202208"|BANTEN|BJT|0|CATEGORY_LATENCY|VERY GOOD|91|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|UNKNOWN|1399|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|ACCEPTABLE|801|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|BAD|72|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|GOOD|1367|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|BLJ|0|CATEGORY_LATENCY|VERY GOOD|1232|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|UNKNOWN|404|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|ACCEPTABLE|627|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|BAD|77|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|GOOD|733|0
"202208"|BANTEN|BRS|0|CATEGORY_LATENCY|VERY GOOD|517|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|UNKNOWN|4819|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|ACCEPTABLE|1808|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|BAD|166|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|GOOD|4249|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|VERY BAD|4|0
"202208"|BANTEN|CKA|0|CATEGORY_LATENCY|VERY GOOD|5517|0
"202208"|BANTEN|CKD|0|CATEGORY_LATENCY|UNKNOWN|1277|0
"202208"|BANTEN|CKD|0|CATEGORY_LATENCY|ACCEPTABLE|801|0
"202208"|BANTEN|CKD|0|CATEGORY_LATENCY|BAD|102|0
"202208"|BANTEN|CKD|0|CATEGORY_LATENCY|GOOD|1146|0
"202208"|BANTEN|CKD|0|CATEGORY_LATENCY|VERY GOOD|888|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|UNKNOWN|4341|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|ACCEPTABLE|2157|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|BAD|228|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|GOOD|6026|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|VERY BAD|6|0
"202208"|BANTEN|CLG|0|CATEGORY_LATENCY|VERY GOOD|7760|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|UNKNOWN|1661|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|ACCEPTABLE|1747|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|BAD|180|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|GOOD|3087|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|CRS|0|CATEGORY_LATENCY|VERY GOOD|3174|0
"202208"|BANTEN|CSK|0|CATEGORY_LATENCY|UNKNOWN|560|0
"202208"|BANTEN|CSK|0|CATEGORY_LATENCY|ACCEPTABLE|398|0
"202208"|BANTEN|CSK|0|CATEGORY_LATENCY|BAD|26|0
"202208"|BANTEN|CSK|0|CATEGORY_LATENCY|GOOD|1025|0
"202208"|BANTEN|CSK|0|CATEGORY_LATENCY|VERY GOOD|1334|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|UNKNOWN|1002|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|ACCEPTABLE|523|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|BAD|73|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|GOOD|832|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|CWN|0|CATEGORY_LATENCY|VERY GOOD|560|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|UNKNOWN|287|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|ACCEPTABLE|165|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|BAD|20|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|GOOD|599|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|GRL|0|CATEGORY_LATENCY|VERY GOOD|1080|0
"202208"|BANTEN|KMT|0|CATEGORY_LATENCY|UNKNOWN|513|0
"202208"|BANTEN|KMT|0|CATEGORY_LATENCY|ACCEPTABLE|273|0
"202208"|BANTEN|KMT|0|CATEGORY_LATENCY|BAD|23|0
"202208"|BANTEN|KMT|0|CATEGORY_LATENCY|GOOD|1060|0
"202208"|BANTEN|KMT|0|CATEGORY_LATENCY|VERY GOOD|1416|0
"202208"|BANTEN|KRS|0|CATEGORY_LATENCY|UNKNOWN|518|0
"202208"|BANTEN|KRS|0|CATEGORY_LATENCY|ACCEPTABLE|265|0
"202208"|BANTEN|KRS|0|CATEGORY_LATENCY|BAD|42|0
"202208"|BANTEN|KRS|0|CATEGORY_LATENCY|GOOD|303|0
"202208"|BANTEN|KRS|0|CATEGORY_LATENCY|VERY GOOD|211|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|UNKNOWN|1235|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|ACCEPTABLE|1316|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|BAD|153|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|GOOD|1466|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|LBU|0|CATEGORY_LATENCY|VERY GOOD|726|0
"202208"|BANTEN|LWD|0|CATEGORY_LATENCY|UNKNOWN|50|0
"202208"|BANTEN|LWD|0|CATEGORY_LATENCY|ACCEPTABLE|184|0
"202208"|BANTEN|LWD|0|CATEGORY_LATENCY|BAD|28|0
"202208"|BANTEN|LWD|0|CATEGORY_LATENCY|GOOD|115|0
"202208"|BANTEN|LWD|0|CATEGORY_LATENCY|VERY GOOD|47|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|UNKNOWN|207|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|ACCEPTABLE|767|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|BAD|111|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|GOOD|675|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|MEN|0|CATEGORY_LATENCY|VERY GOOD|304|0
"202208"|BANTEN|MER|0|CATEGORY_LATENCY|UNKNOWN|962|0
"202208"|BANTEN|MER|0|CATEGORY_LATENCY|ACCEPTABLE|575|0
"202208"|BANTEN|MER|0|CATEGORY_LATENCY|BAD|65|0
"202208"|BANTEN|MER|0|CATEGORY_LATENCY|GOOD|1153|0
"202208"|BANTEN|MER|0|CATEGORY_LATENCY|VERY GOOD|1036|0
"202208"|BANTEN|MLP|0|CATEGORY_LATENCY|UNKNOWN|320|0
"202208"|BANTEN|MLP|0|CATEGORY_LATENCY|ACCEPTABLE|604|0
"202208"|BANTEN|MLP|0|CATEGORY_LATENCY|BAD|63|0
"202208"|BANTEN|MLP|0|CATEGORY_LATENCY|GOOD|653|0
"202208"|BANTEN|MLP|0|CATEGORY_LATENCY|VERY GOOD|285|0
"202208"|BANTEN|PBN|0|CATEGORY_LATENCY|UNKNOWN|86|0
"202208"|BANTEN|PBN|0|CATEGORY_LATENCY|ACCEPTABLE|90|0
"202208"|BANTEN|PBN|0|CATEGORY_LATENCY|BAD|14|0
"202208"|BANTEN|PBN|0|CATEGORY_LATENCY|GOOD|140|0
"202208"|BANTEN|PBN|0|CATEGORY_LATENCY|VERY GOOD|109|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|UNKNOWN|1774|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|ACCEPTABLE|2343|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|BAD|285|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|GOOD|3260|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BANTEN|PDG|0|CATEGORY_LATENCY|VERY GOOD|2089|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|UNKNOWN|223|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|ACCEPTABLE|239|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|BAD|47|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|GOOD|225|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|PSU|0|CATEGORY_LATENCY|VERY GOOD|121|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|UNKNOWN|1949|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|ACCEPTABLE|2173|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|BAD|297|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|GOOD|3514|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BANTEN|RKS|0|CATEGORY_LATENCY|VERY GOOD|2996|0
"202208"|BANTEN|SAG|0|CATEGORY_LATENCY|UNKNOWN|280|0
"202208"|BANTEN|SAG|0|CATEGORY_LATENCY|ACCEPTABLE|242|0
"202208"|BANTEN|SAG|0|CATEGORY_LATENCY|BAD|20|0
"202208"|BANTEN|SAG|0|CATEGORY_LATENCY|GOOD|640|0
"202208"|BANTEN|SAG|0|CATEGORY_LATENCY|VERY GOOD|624|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|UNKNOWN|643|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|ACCEPTABLE|416|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|BAD|46|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|GOOD|954|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|SAM|0|CATEGORY_LATENCY|VERY GOOD|1139|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|UNKNOWN|4732|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|ACCEPTABLE|2551|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|BAD|272|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|GOOD|6558|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BANTEN|SEG|0|CATEGORY_LATENCY|VERY GOOD|8126|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|UNKNOWN|297|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|ACCEPTABLE|322|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|BAD|54|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|GOOD|379|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|SKE|0|CATEGORY_LATENCY|VERY GOOD|198|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|UNKNOWN|1631|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|ACCEPTABLE|1128|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|BAD|118|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|GOOD|2469|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|VERY BAD|1|0
"202208"|BANTEN|TGR|0|CATEGORY_LATENCY|VERY GOOD|3034|0
"202208"|BANTEN|TJO|0|CATEGORY_LATENCY|UNKNOWN|115|0
"202208"|BANTEN|TJO|0|CATEGORY_LATENCY|ACCEPTABLE|134|0
"202208"|BANTEN|TJO|0|CATEGORY_LATENCY|BAD|26|0
"202208"|BANTEN|TJO|0|CATEGORY_LATENCY|GOOD|175|0
"202208"|BANTEN|TJO|0|CATEGORY_LATENCY|VERY GOOD|123|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|UNKNOWN|1793|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|ACCEPTABLE|1121|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|BAD|171|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|GOOD|3241|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|VERY BAD|3|0
"202208"|BEKASI|BBL|0|CATEGORY_LATENCY|VERY GOOD|3426|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|UNKNOWN|10737|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|ACCEPTABLE|3791|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|BAD|498|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|GOOD|10418|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|VERY BAD|2|0
"202208"|BEKASI|BEK|0|CATEGORY_LATENCY|VERY GOOD|11253|0
"202208"|BEKASI|BGG|0|CATEGORY_LATENCY|UNKNOWN|30184|0
"202208"|BEKASI|BGG|0|CATEGORY_LATENCY|ACCEPTABLE|17|0
"202208"|BEKASI|BGG|0|CATEGORY_LATENCY|BAD|2|0
"202208"|BEKASI|BGG|0|CATEGORY_LATENCY|GOOD|26|0
"202208"|BEKASI|BGG|0|CATEGORY_LATENCY|VERY GOOD|18|0
"202208"|BEKASI|CBG|0|CATEGORY_LATENCY|UNKNOWN|83|0
"202208"|BEKASI|CBG|0|CATEGORY_LATENCY|ACCEPTABLE|194|0
"202208"|BEKASI|CBG|0|CATEGORY_LATENCY|BAD|52|0
"202208"|BEKASI|CBG|0|CATEGORY_LATENCY|GOOD|113|0
"202208"|BEKASI|CBG|0|CATEGORY_LATENCY|VERY GOOD|44|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|UNKNOWN|696|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|ACCEPTABLE|851|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|BAD|117|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|GOOD|2041|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|VERY BAD|3|0
"202208"|BEKASI|CBR|0|CATEGORY_LATENCY|VERY GOOD|1389|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|UNKNOWN|4870|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|ACCEPTABLE|2519|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|BAD|312|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|GOOD|6165|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|VERY BAD|8|0
"202208"|BEKASI|CIB|0|CATEGORY_LATENCY|VERY GOOD|5114|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|UNKNOWN|2151|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|ACCEPTABLE|2132|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|BAD|373|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|GOOD|3800|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|VERY BAD|5|0
"202208"|BEKASI|CIK|0|CATEGORY_LATENCY|VERY GOOD|1463|0
"202208"|BEKASI|DNI|0|CATEGORY_LATENCY|UNKNOWN|1815|0
"202208"|BEKASI|DNI|0|CATEGORY_LATENCY|ACCEPTABLE|90|0
"202208"|BEKASI|DNI|0|CATEGORY_LATENCY|BAD|10|0
"202208"|BEKASI|DNI|0|CATEGORY_LATENCY|GOOD|88|0
"202208"|BEKASI|DNI|0|CATEGORY_LATENCY|VERY GOOD|58|0
"202208"|BEKASI|EJI|0|CATEGORY_LATENCY|UNKNOWN|541|0
"202208"|BEKASI|EJI|0|CATEGORY_LATENCY|ACCEPTABLE|470|0
"202208"|BEKASI|EJI|0|CATEGORY_LATENCY|BAD|55|0
"202208"|BEKASI|EJI|0|CATEGORY_LATENCY|GOOD|996|0
"202208"|BEKASI|EJI|0|CATEGORY_LATENCY|VERY GOOD|328|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|UNKNOWN|2537|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|ACCEPTABLE|1665|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|BAD|270|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|GOOD|3677|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|VERY BAD|6|0
"202208"|BEKASI|JBB|0|CATEGORY_LATENCY|VERY GOOD|2687|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|UNKNOWN|8522|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|ACCEPTABLE|2958|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|BAD|377|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|GOOD|9329|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|VERY BAD|5|0
"202208"|BEKASI|KLB|0|CATEGORY_LATENCY|VERY GOOD|7767|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|UNKNOWN|12691|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|ACCEPTABLE|3509|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|BAD|435|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|GOOD|9387|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|VERY BAD|8|0
"202208"|BEKASI|KRA|0|CATEGORY_LATENCY|VERY GOOD|7657|0
"202208"|BEKASI|LMA|0|CATEGORY_LATENCY|UNKNOWN|560|0
"202208"|BEKASI|LMA|0|CATEGORY_LATENCY|ACCEPTABLE|558|0
"202208"|BEKASI|LMA|0|CATEGORY_LATENCY|BAD|80|0
"202208"|BEKASI|LMA|0|CATEGORY_LATENCY|GOOD|1224|0
"202208"|BEKASI|LMA|0|CATEGORY_LATENCY|VERY GOOD|703|0
"202208"|BEKASI|MGB|0|CATEGORY_LATENCY|UNKNOWN|44|0
"202208"|BEKASI|MGB|0|CATEGORY_LATENCY|ACCEPTABLE|68|0
"202208"|BEKASI|MGB|0|CATEGORY_LATENCY|BAD|19|0
"202208"|BEKASI|MGB|0|CATEGORY_LATENCY|GOOD|44|0
"202208"|BEKASI|MGB|0|CATEGORY_LATENCY|VERY GOOD|27|0
"202208"|BEKASI|PBY|0|CATEGORY_LATENCY|UNKNOWN|116|0
"202208"|BEKASI|PBY|0|CATEGORY_LATENCY|ACCEPTABLE|169|0
"202208"|BEKASI|PBY|0|CATEGORY_LATENCY|BAD|51|0
"202208"|BEKASI|PBY|0|CATEGORY_LATENCY|GOOD|162|0
"202208"|BEKASI|PBY|0|CATEGORY_LATENCY|VERY GOOD|41|0
"202208"|BEKASI|PDE|0|CATEGORY_LATENCY|UNKNOWN|46337|0
"202208"|BEKASI|PDE|0|CATEGORY_LATENCY|ACCEPTABLE|8|0
"202208"|BEKASI|PDE|0|CATEGORY_LATENCY|BAD|1|0
"202208"|BEKASI|PDE|0|CATEGORY_LATENCY|GOOD|51|0
"202208"|BEKASI|PDE|0|CATEGORY_LATENCY|VERY GOOD|30|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|UNKNOWN|53173|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|ACCEPTABLE|20|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|BAD|3|0
"202208"|BEKASI|PKY|0|CATEGORY_LATENCY|GOOD|60|0
